segdesc   = GRNU1L_F
2022-03-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1/2025,47.750,35.501,54.235,77.963,54.606,49.788,50.766,33.151,27.326,27.187,29.351,41.910,49.947,42.861,28.103,40.068,44.388,36.716,61.198,35.689,27.990,52.930,36.009,53.337,74.127,44.645,44.517,54.734,38.827,63.683
2/2025,45.221,52.507,66.034,60.059,50.703,49.155,55.284,33.167,28.081,39.583,31.322,41.137,46.430,45.928,27.957,39.910,41.769,37.692,57.998,35.631,38.320,62.591,50.103,93.569,72.060,43.556,43.237,48.481,42.361,61.138
3/2025,108.995,114.237,101.521,117.064,98.403,88.650,81.217,69.020,52.831,65.442,98.688,88.384,74.131,103.277,50.306,80.615,67.137,65.293,116.323,68.957,69.817,106.319,93.771,341.275,96.416,78.358,101.899,81.059,82.464,116.109
4/2025,139.245,97.542,158.687,142.091,165.083,109.293,119.108,105.119,85.562,92.401,154.112,127.921,138.245,103.665,55.258,122.826,87.279,198.853,197.850,73.802,92.412,111.369,147.377,544.908,122.205,275.067,130.594,90.738,96.089,166.308
5/2025,241.889,156.574,250.747,482.284,262.798,344.171,209.068,177.701,62.579,78.989,134.651,272.585,297.416,219.767,139.216,199.594,66.370,335.795,240.187,101.515,200.694,236.716,402.502,579.818,329.801,190.491,178.832,136.497,293.366,370.791
6/2025,210.566,600.283,706.302,877.526,483.504,772.090,257.255,166.529,203.982,272.892,265.070,478.124,349.085,88.455,344.134,554.274,292.296,672.084,229.308,114.073,513.575,367.172,441.728,884.213,519.092,371.049,411.979,212.166,572.227,1010.595
7/2025,42.119,606.478,323.966,357.865,459.437,421.340,76.480,43.303,91.758,108.899,189.515,320.245,90.407,13.569,242.001,408.317,229.186,844.922,85.192,43.001,310.955,164.152,132.933,425.656,225.474,269.795,192.163,84.339,558.038,601.618
8/2025,36.412,191.659,103.232,174.905,151.760,141.087,43.584,27.004,38.220,43.000,74.465,100.133,51.675,32.589,71.973,127.141,71.900,225.751,44.575,27.545,110.874,61.481,65.526,150.931,85.126,103.075,70.611,39.169,240.550,209.169
9/2025,30.431,78.127,63.314,110.070,69.039,97.824,52.479,23.245,35.732,39.462,59.049,55.999,41.816,29.312,56.814,57.803,45.888,95.876,34.184,31.324,77.707,42.261,64.655,102.117,52.842,71.346,49.399,26.793,121.171,114.580
10/2025,58.618,68.640,61.573,100.911,69.933,66.682,52.285,27.495,40.461,32.191,60.057,54.835,64.437,58.371,47.701,60.352,39.142,86.523,38.681,54.278,129.850,53.370,105.528,114.433,60.789,67.157,47.992,42.183,174.401,109.061
11/2025,49.722,65.319,67.602,74.557,62.784,62.855,46.670,40.723,37.044,37.350,79.050,54.611,54.219,47.797,52.572,61.911,45.798,77.001,52.306,41.590,73.508,48.863,101.928,93.258,62.264,58.904,53.007,50.610,88.175,91.512
12/2025,38.553,64.924,63.933,61.957,56.220,56.547,37.720,32.756,30.626,32.353,47.384,49.116,46.177,34.163,43.519,50.559,40.020,65.925,42.533,31.985,57.204,42.110,63.963,85.125,51.772,51.196,50.324,43.976,69.730,72.938
1/2026,35.802,54.794,78.107,54.683,49.576,51.220,33.496,27.822,27.498,29.389,41.825,49.813,43.082,28.671,40.290,44.364,36.838,61.152,35.653,28.851,53.234,35.862,53.682,74.112,44.629,45.830,54.935,39.430,63.979,64.308
2/2026,52.780,65.865,60.164,50.767,49.117,55.300,33.456,28.491,39.850,31.293,41.065,46.319,46.119,28.406,40.457,41.750,37.747,58.080,35.603,39.079,62.866,49.218,93.869,72.047,43.662,44.298,48.674,42.878,61.389,58.702
3/2026,114.558,100.860,117.150,98.492,88.847,80.955,69.372,53.261,65.721,95.432,88.305,73.868,103.483,50.228,80.868,67.116,65.406,112.577,68.929,70.657,106.634,93.709,341.786,96.403,78.476,101.846,81.242,83.022,116.429,84.037
4/2026,97.798,156.948,142.202,165.232,109.505,116.545,105.523,86.067,92.688,153.987,127.830,138.090,103.861,54.732,123.099,87.187,198.990,191.651,73.769,93.309,110.985,141.346,546.021,122.182,275.294,128.002,90.903,96.627,166.653,150.199
5/2026,156.816,242.831,481.474,262.175,344.389,199.313,178.073,63.015,79.228,132.063,272.401,296.410,219.452,131.735,199.468,66.349,336.003,243.515,101.431,201.987,237.209,390.961,579.795,328.750,190.602,176.260,136.679,294.077,371.337,372.322
6/2026,600.008,697.766,877.571,483.469,772.163,264.463,166.722,204.400,273.137,258.441,477.541,349.026,88.293,334.338,554.777,291.391,671.433,228.969,114.007,514.332,367.574,441.010,884.629,519.060,371.082,408.272,211.614,572.217,1010.833,589.141
7/2026,606.387,336.760,357.925,459.481,421.442,81.064,43.438,91.973,109.013,195.563,320.181,90.365,13.655,256.894,408.454,229.163,844.970,90.518,42.978,311.288,164.327,139.406,425.775,225.465,268.834,199.876,84.442,558.403,601.802,321.012
8/2026,191.804,105.842,174.967,151.786,141.170,44.506,27.163,38.552,43.119,75.173,100.095,51.630,32.678,74.229,127.197,71.887,225.786,45.397,27.526,111.213,61.596,66.283,150.997,85.120,103.146,72.852,39.294,240.863,209.286,117.284
9/2026,78.253,63.652,110.122,69.059,97.897,52.306,23.376,35.893,39.661,60.102,55.971,41.765,29.408,56.866,57.846,45.878,95.905,34.180,31.313,78.002,42.358,63.114,102.169,52.839,71.420,49.951,26.866,121.428,114.681,80.377
10/2026,68.759,61.876,100.960,69.952,66.749,52.463,27.618,40.625,32.287,58.856,54.807,64.380,58.462,48.359,60.396,39.132,86.552,38.614,54.271,130.183,53.460,105.925,114.483,60.785,67.223,48.471,42.251,174.677,109.152,89.239
11/2026,65.421,67.394,74.601,62.801,62.915,47.215,40.846,37.202,37.444,80.859,54.586,54.168,47.875,52.986,61.947,45.796,77.025,52.389,41.582,73.755,48.944,103.301,93.298,62.261,58.963,53.601,50.676,88.350,91.590,66.171
12/2026,65.026,65.201,61.998,56.237,56.603,37.974,32.873,30.775,32.445,48.144,49.093,46.130,34.235,43.948,50.592,40.012,65.948,42.925,31.978,57.437,42.187,64.527,85.162,51.770,51.253,50.401,44.036,69.889,73.011,56.075
1/2027,54.887,78.671,54.720,49.591,51.271,33.673,27.930,27.634,29.473,42.042,49.791,43.039,28.736,40.460,44.394,36.830,61.173,35.764,28.845,53.448,35.968,53.843,74.145,44.642,45.883,55.803,39.485,64.125,64.374,49.959
2/2027,65.952,60.774,50.798,49.130,55.344,33.480,28.581,39.969,31.363,41.453,46.301,46.081,28.459,40.334,41.774,37.727,58.098,35.714,39.075,63.066,49.286,92.012,72.075,43.661,44.343,48.446,42.922,61.518,58.757,47.097
