segdesc   = TPIC2L_F
2023-01-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2025,5.912,5.049,7.647,6.624,6.306,5.079,5.124,3.968,3.999,2.905,3.935,3.749,4.662,4.956,4.187,5.934,5.188,4.697,5.828,3.418,4.048,5.448,4.585,4.172,6.044,3.763,5.581,5.376,4.443,3.948
1/2026,5.335,4.498,6.600,5.635,5.684,4.284,4.712,3.645,3.549,2.664,3.526,3.386,4.072,4.307,3.630,5.325,4.640,4.124,5.351,3.114,3.682,4.821,4.206,3.745,5.104,3.410,5.075,4.395,4.056,3.625
2/2026,4.429,3.821,5.374,4.588,4.667,3.566,3.932,3.045,2.913,2.358,2.908,2.797,3.323,3.587,2.948,4.403,3.811,3.375,4.389,2.636,3.033,4.558,3.651,3.121,4.276,2.844,4.173,3.611,3.461,3.041
3/2026,5.269,5.222,5.732,5.757,5.287,4.654,4.336,3.500,3.063,2.960,4.935,3.005,3.534,6.083,2.980,5.363,3.846,3.703,5.592,2.832,3.028,5.733,4.421,4.985,4.506,2.869,4.595,3.787,3.987,3.425
4/2026,8.947,6.465,10.128,8.122,7.052,6.561,9.707,7.066,7.409,5.792,10.006,6.423,9.225,9.397,3.747,7.018,7.069,6.651,12.882,4.863,5.361,9.692,7.211,9.804,7.235,6.494,7.106,6.885,8.563,6.437
5/2026,29.473,29.210,56.145,38.422,22.999,22.237,33.865,25.745,17.408,19.828,27.597,24.291,31.720,29.559,24.481,37.901,16.374,20.361,24.596,16.364,26.696,19.471,17.252,31.522,30.348,20.746,26.340,20.267,26.502,29.298
6/2026,42.169,82.651,61.827,73.090,32.621,48.235,26.075,26.225,13.424,35.044,22.187,35.668,36.680,28.273,75.201,41.745,42.248,65.621,11.775,29.733,51.435,51.650,42.351,53.561,18.839,55.895,33.688,42.937,26.966,64.189
7/2026,15.794,75.258,23.901,27.915,16.337,30.554,10.897,10.288,6.328,12.494,9.208,15.243,13.060,12.073,37.503,22.070,14.385,42.799,7.316,12.253,18.831,18.624,15.412,20.601,8.334,39.347,12.382,17.830,13.411,33.960
8/2026,7.874,24.010,10.870,13.544,8.401,12.721,7.146,7.063,4.382,6.770,6.019,8.900,8.101,7.524,13.237,9.697,9.117,14.992,5.465,7.648,9.810,8.642,8.382,12.080,5.686,13.691,7.480,8.375,8.720,12.744
9/2026,6.308,13.833,8.198,9.165,5.944,7.866,5.516,5.280,3.678,7.309,4.898,5.924,6.678,6.429,8.386,6.798,6.030,8.541,4.799,6.543,9.091,6.513,6.124,7.555,4.737,8.065,7.377,5.979,6.838,8.989
10/2026,7.262,11.189,7.964,8.530,6.684,6.771,5.054,4.598,4.609,5.542,5.045,6.626,8.642,6.291,7.961,7.331,5.533,7.864,4.364,6.978,11.004,5.572,5.329,7.851,4.709,6.807,6.650,5.308,5.119,8.339
11/2026,5.855,8.349,7.538,7.048,5.261,5.742,4.255,4.702,3.233,4.292,4.336,5.792,6.205,5.216,6.701,6.250,5.588,6.563,3.719,4.762,7.042,4.792,4.522,6.510,4.399,5.937,6.836,4.632,4.271,6.935
12/2026,5.047,7.674,6.620,6.293,5.079,5.192,3.955,3.957,2.858,3.908,3.733,4.615,4.938,4.165,5.943,5.172,4.669,5.854,3.386,4.077,5.443,4.539,4.163,6.047,3.733,5.585,5.361,4.394,3.948,5.908
1/2027,4.495,6.612,5.632,5.672,4.284,4.764,3.633,3.511,2.621,3.501,3.372,4.030,4.291,3.600,5.334,4.625,4.099,5.369,3.084,3.709,4.816,4.158,3.737,5.106,3.383,5.072,4.383,4.012,3.625,5.330
2/2027,3.819,5.380,4.586,4.657,3.566,3.982,3.035,2.881,2.323,2.886,2.785,3.288,3.574,2.921,4.411,3.798,3.354,4.402,2.612,3.055,4.554,3.596,3.114,4.277,2.821,4.170,3.601,3.424,3.041,4.420
3/2027,5.219,5.712,5.755,5.276,4.653,4.334,3.490,3.030,2.922,4.771,2.993,3.497,6.067,2.953,5.371,3.834,3.681,5.461,2.807,3.051,5.729,4.375,4.977,4.508,2.845,4.544,3.776,3.947,3.425,5.218
4/2027,6.463,10.028,8.119,7.041,6.561,9.254,7.054,7.373,5.751,9.875,6.410,9.178,9.382,3.570,7.027,7.054,6.626,12.674,4.836,5.385,9.687,7.015,9.795,7.237,6.466,6.861,6.872,8.515,6.438,8.765
5/2027,29.204,54.743,38.417,22.986,22.236,32.989,25.732,17.377,19.778,27.181,24.265,31.673,29.545,22.984,37.915,16.359,20.318,24.538,16.332,26.736,19.465,16.486,31.510,30.350,20.700,25.137,20.253,26.464,29.298,28.561
6/2027,82.646,62.211,73.087,32.614,48.234,27.237,26.216,13.400,35.004,22.448,35.641,36.649,28.262,74.568,41.752,42.238,65.596,12.016,29.711,51.465,51.639,42.267,53.555,18.841,55.863,34.484,42.926,26.937,64.186,42.550
7/2027,75.257,24.691,27.914,16.331,30.553,11.074,10.282,6.307,12.472,9.330,15.235,13.038,12.064,39.198,22.075,14.378,42.786,7.353,12.237,18.845,18.622,15.806,20.597,8.335,39.334,12.622,17.823,13.385,33.959,16.225
8/2027,24.009,11.020,13.543,8.396,12.720,7.234,7.058,4.364,6.752,6.054,8.894,8.081,7.516,13.516,9.700,9.110,14.982,5.482,7.634,9.821,8.641,8.420,12.076,5.687,13.680,7.549,8.370,8.698,12.744,7.956
9/2027,13.833,8.215,9.164,5.939,7.866,5.555,5.275,3.661,7.291,4.883,5.919,6.661,6.423,8.437,6.801,6.023,8.533,4.819,6.530,9.101,6.512,6.136,7.552,4.737,8.056,7.355,5.974,6.819,8.989,6.321
10/2027,11.188,8.009,8.529,6.679,6.771,5.107,4.594,4.593,5.527,5.067,6.621,8.625,6.285,7.980,7.334,5.527,7.857,4.386,6.966,11.014,5.571,5.322,7.849,4.710,6.798,6.603,5.304,5.102,8.339,7.253
11/2027,8.348,7.552,7.047,5.257,5.742,4.285,4.698,3.219,4.279,4.362,5.788,6.190,5.211,6.750,6.252,5.583,6.556,3.743,4.752,7.050,4.791,4.512,6.507,4.400,5.929,6.896,4.628,4.257,6.936,5.906
12/2027,7.674,6.674,6.292,5.075,5.192,3.981,3.953,2.845,3.896,3.747,4.611,4.925,4.160,5.962,5.174,4.664,5.847,3.398,4.068,5.450,4.539,4.147,6.044,3.734,5.577,5.405,4.390,3.934,5.909,5.070
