segdesc   = MPSC2L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10/2024,46.441,43.169,60.698,50.299,61.981,45.359,39.893,31.643,30.730,31.343,34.994,33.704,52.755,64.918,44.323,42.581,40.036,31.792,41.406,23.948,51.324,63.195,35.107,32.136,42.005,25.603,39.308,31.432,29.619,49.085
11/2024,37.726,33.884,46.009,42.444,46.882,38.211,31.921,27.940,30.013,20.372,26.008,31.231,40.403,46.118,35.843,36.449,35.989,32.009,33.910,19.960,33.398,39.190,31.523,27.512,35.604,24.120,33.836,28.618,27.985,34.897
12/2024,31.943,27.528,42.117,35.291,36.832,34.696,28.320,24.366,24.417,17.634,23.570,25.067,29.958,31.748,25.821,32.279,29.316,26.919,29.708,18.162,25.092,31.594,27.941,25.299,32.994,19.581,31.112,26.619,23.095,29.548
1/2025,29.088,24.929,35.814,30.155,32.741,29.693,28.132,22.513,21.360,16.783,21.291,24.259,25.998,26.745,21.683,29.425,26.040,24.755,28.195,16.850,21.884,27.620,25.700,23.460,28.733,17.983,28.419,25.227,20.054,26.829
2/2025,24.391,26.619,34.462,24.623,27.870,27.942,27.748,21.218,17.981,19.307,18.316,21.306,21.258,24.698,17.657,25.693,21.534,20.516,23.454,14.733,21.617,32.001,23.876,28.109,29.380,15.595,24.892,21.677,16.874,23.242
3/2025,43.767,50.483,44.979,48.412,45.722,40.443,34.330,32.295,23.229,30.434,48.796,27.645,30.801,58.409,19.414,46.208,25.522,33.537,42.050,22.419,29.477,53.348,41.032,63.459,32.034,22.313,38.525,26.711,30.167,40.345
4/2025,79.944,60.742,105.085,89.820,69.013,59.055,94.013,68.195,59.019,55.479,105.897,68.913,97.590,100.947,54.459,69.304,60.481,71.325,92.403,42.684,70.545,85.847,68.642,121.155,52.095,80.544,56.700,58.576,42.195,45.641
5/2025,222.273,259.649,380.178,349.010,210.331,231.948,262.020,265.677,98.381,163.395,239.343,275.007,249.229,245.121,266.566,319.443,128.943,164.959,155.380,109.576,245.967,171.430,177.826,263.353,171.054,208.859,194.960,136.486,165.504,150.371
6/2025,228.364,596.709,322.783,511.900,226.326,347.190,163.324,202.792,62.347,225.847,147.936,299.631,194.908,182.688,504.250,273.364,283.089,444.496,59.336,159.034,351.523,366.928,305.735,408.585,80.257,417.551,202.188,139.731,319.780,405.292
7/2025,69.201,455.146,114.260,178.710,107.606,229.349,53.571,62.112,26.292,59.786,56.337,118.594,73.840,68.689,219.119,139.461,75.847,240.266,30.237,58.190,106.453,125.438,97.451,136.444,34.567,275.889,62.731,59.387,185.594,221.928
8/2025,44.807,132.313,56.523,86.701,54.375,95.089,47.280,54.856,22.838,43.918,39.390,60.880,52.543,50.230,81.671,57.387,52.760,74.370,30.651,42.111,59.987,56.353,55.792,67.054,28.598,86.972,41.877,36.829,92.938,92.257
9/2025,36.320,65.802,41.395,59.343,35.141,50.773,35.238,32.605,21.765,58.205,35.814,38.952,38.557,43.218,46.685,38.389,30.820,42.464,24.963,55.055,53.163,40.466,36.906,40.950,23.201,45.742,38.568,27.902,74.288,45.331
10/2025,43.300,63.052,50.411,62.078,45.494,40.533,31.862,30.840,31.290,35.591,33.667,52.684,64.935,44.721,42.604,40.210,31.771,41.526,24.000,51.404,63.175,34.911,32.287,42.143,25.666,39.286,31.506,29.645,49.217,37.715
11/2025,34.096,46.370,42.632,47.034,38.452,32.408,28.243,30.192,20.408,26.246,31.280,40.437,46.215,36.909,36.555,36.195,32.049,34.267,20.050,33.558,39.284,31.605,27.741,35.804,24.221,34.028,28.742,28.082,35.097,32.163
12/2025,27.699,42.463,35.447,36.969,34.901,28.689,24.627,24.572,17.650,23.762,25.099,29.975,31.825,26.241,32.359,29.511,26.958,29.963,18.238,25.219,31.663,27.975,25.499,33.169,19.665,31.232,26.734,23.175,29.718,29.343
1/2026,25.087,36.001,30.294,32.869,29.876,28.298,22.756,21.503,16.799,21.443,24.290,26.014,26.819,21.902,29.499,26.220,24.792,28.398,16.920,21.996,27.684,25.708,23.643,28.891,18.061,28.504,25.334,20.127,26.988,28.349
2/2026,26.758,34.283,24.738,27.979,28.102,28.003,21.428,18.103,19.325,18.310,21.332,21.270,24.766,17.823,25.755,21.686,20.546,23.596,14.792,21.717,32.062,23.666,28.282,29.522,15.661,24.930,21.767,16.936,23.379,22.824
3/2026,50.673,44.721,48.578,45.864,40.628,34.122,32.545,23.367,30.460,47.787,27.676,30.813,58.507,19.133,46.284,25.684,33.590,40.866,22.489,29.587,53.425,40.642,63.740,32.180,22.387,38.054,26.810,30.249,40.522,24.342
4/2026,60.920,103.354,90.020,69.190,59.247,89.458,68.535,59.192,55.508,104.107,68.958,97.604,101.023,52.838,69.399,60.702,71.400,91.231,42.763,70.718,85.912,66.981,121.476,52.268,80.664,54.649,58.673,42.288,45.818,45.328
5/2026,260.042,374.715,349.167,210.505,232.130,258.860,266.010,98.486,163.374,236.636,275.076,249.249,245.165,254.236,319.591,129.124,164.945,155.246,109.626,246.199,171.486,172.963,263.655,171.179,208.991,187.693,136.559,165.575,150.587,435.676
6/2026,596.923,323.380,511.969,226.403,347.227,170.093,202.947,62.426,225.833,151.560,299.657,194.917,182.726,504.127,273.415,283.201,444.437,60.709,159.061,351.651,366.972,306.377,408.736,80.336,417.567,207.891,139.790,319.821,405.420,690.991
7/2026,455.223,118.969,178.773,107.678,229.425,54.568,62.237,26.355,59.795,56.929,118.611,73.846,68.727,229.191,139.499,75.950,240.273,30.734,58.226,106.509,125.473,100.217,136.539,34.655,275.916,63.881,59.448,185.625,222.023,342.374
8/2026,132.362,57.431,86.761,54.443,95.167,47.452,54.981,22.917,43.932,39.875,60.895,52.548,50.269,83.624,57.420,52.857,74.385,30.790,42.148,60.030,56.383,55.963,67.134,28.678,87.000,42.279,36.889,92.964,92.342,130.136
9/2026,65.845,41.517,59.397,35.201,50.842,35.800,32.714,21.840,58.221,35.309,38.966,38.562,43.257,47.068,38.419,30.905,42.478,24.988,55.094,53.204,40.494,37.478,41.020,23.272,45.768,38.606,27.956,74.310,45.404,70.174
10/2026,63.094,50.487,62.129,45.557,40.600,32.029,30.944,31.363,35.604,34.232,52.697,64.940,44.757,42.774,40.238,31.853,41.540,24.239,51.441,63.215,34.938,32.448,42.208,25.735,39.310,31.828,29.696,49.238,37.785,61.352
11/2026,46.406,42.949,47.079,38.511,32.467,28.610,30.285,20.471,26.257,31.677,40.449,46.219,36.939,36.776,36.221,32.125,34.280,20.170,33.586,39.316,31.630,27.793,35.864,24.283,34.050,28.794,28.128,35.117,32.227,51.608
