segdesc   = CLSC2L_F
2022-03-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1/2025,33.282,29.004,40.121,34.811,37.517,34.888,32.385,26.371,24.767,19.886,24.852,29.121,29.886,32.305,26.275,34.127,30.088,28.325,32.954,20.054,25.253,31.864,29.605,27.627,33.108,21.011,32.486,29.406,23.434,30.853
2/2025,27.964,31.039,39.143,28.211,31.980,33.621,32.046,24.915,20.903,23.083,21.338,25.411,24.403,31.789,21.308,30.128,24.878,23.337,27.365,17.594,26.110,37.296,27.792,33.800,34.309,18.216,28.690,25.459,19.953,26.807
3/2025,50.676,62.604,52.137,59.560,53.621,51.601,40.085,37.552,27.213,38.299,59.440,33.040,35.682,81.430,24.331,55.296,29.696,40.307,51.863,26.294,38.133,64.604,49.279,78.522,37.217,27.936,44.917,31.630,36.238,46.517
4/2025,95.028,75.118,125.431,113.207,88.247,74.486,108.591,81.921,66.941,71.650,138.698,83.394,116.527,132.871,76.008,85.894,72.388,95.501,116.560,50.908,83.790,102.572,85.944,144.540,64.771,106.151,66.249,70.375,50.492,53.343
5/2025,257.029,301.283,429.250,412.947,252.542,281.284,297.268,315.780,108.617,186.788,278.386,317.269,286.640,299.027,329.281,372.271,153.562,206.574,180.714,125.735,280.008,204.360,208.396,304.580,195.205,258.070,221.273,153.052,191.816,170.094
6/2025,251.610,666.453,351.303,578.644,256.588,401.328,182.384,230.562,65.843,247.704,165.830,336.061,216.058,215.792,573.875,304.898,329.313,512.197,66.135,174.012,394.584,414.604,352.980,459.943,84.850,477.667,224.840,154.954,363.478,463.686
7/2025,71.191,501.412,118.234,192.707,119.164,260.357,55.002,64.309,27.001,61.501,58.720,125.791,77.084,73.159,237.541,149.228,80.540,262.227,31.336,60.138,113.406,134.534,105.875,143.726,35.524,309.885,65.199,62.194,206.667,247.076
8/2025,46.653,138.234,58.473,92.017,57.229,103.012,49.268,57.695,24.117,46.031,41.422,63.643,56.730,54.892,85.368,60.047,57.082,77.530,32.882,44.657,64.340,58.524,58.562,70.095,30.080,92.205,43.718,39.116,104.087,97.054
9/2025,39.176,69.724,44.005,66.091,37.240,55.274,36.958,34.743,23.400,65.920,41.330,40.740,41.767,50.384,49.463,40.465,32.943,44.707,26.617,60.745,58.655,42.121,39.466,43.213,24.618,47.985,40.336,29.907,84.344,47.403
10/2025,51.962,71.140,61.606,75.343,54.960,45.118,37.315,34.815,38.678,40.565,41.790,61.985,85.191,57.650,48.102,45.625,36.978,48.011,26.924,61.656,75.367,39.403,36.399,46.810,29.281,43.669,35.060,33.554,55.482,41.838
11/2025,40.692,52.200,49.810,55.505,46.570,36.789,33.591,34.235,25.068,30.501,38.252,47.983,56.609,45.763,42.497,42.300,38.157,39.905,23.488,39.691,45.382,36.788,31.880,40.775,28.398,38.924,32.966,34.160,40.123,36.524
12/2025,32.062,48.117,40.438,42.394,41.287,32.807,28.757,28.178,21.111,27.870,29.807,34.660,38.600,32.060,37.766,34.074,31.817,34.728,21.548,29.461,36.686,32.402,29.741,37.798,22.938,36.256,31.234,27.927,33.978,33.497
1/2026,28.933,40.530,34.789,37.588,35.299,32.671,26.440,24.795,19.892,24.904,28.969,29.827,32.344,26.538,34.146,30.098,28.934,33.093,19.983,25.509,31.809,29.469,27.871,33.132,21.050,32.942,29.222,23.603,30.946,32.365
2/2026,30.978,39.109,28.194,32.039,33.983,32.419,24.985,20.929,23.095,21.224,25.284,24.355,31.829,21.499,30.145,24.887,23.841,27.451,17.535,26.348,37.251,27.407,34.029,34.335,18.250,29.031,25.305,20.098,26.888,26.061
3/2026,62.528,52.010,59.542,53.696,52.027,39.808,37.641,27.243,38.329,58.009,32.904,35.639,81.489,23.844,55.321,29.714,40.962,50.157,26.233,38.405,64.545,48.537,78.891,37.241,27.984,44.704,31.464,36.423,46.627,27.953
4/2026,75.051,123.723,113.162,88.348,74.926,103.660,82.000,66.971,71.683,136.192,83.132,116.416,132.908,73.778,85.927,72.392,96.451,115.273,50.838,84.163,102.485,83.817,144.974,64.801,106.250,64.347,70.181,50.676,53.458,53.241
5/2026,301.091,423.813,412.808,252.651,281.825,293.712,315.825,108.636,186.734,275.218,316.957,286.534,299.029,315.457,372.313,153.545,207.520,180.477,125.619,280.460,204.249,202.748,304.986,195.210,258.120,213.519,152.877,191.993,170.183,502.850
6/2026,666.285,351.778,578.590,256.631,401.505,190.273,230.597,65.863,247.665,169.907,335.906,216.011,215.802,574.458,304.907,329.301,512.700,67.700,173.936,394.824,414.533,353.623,460.127,84.852,477.609,231.520,154.836,363.568,463.710,787.403
7/2026,501.360,123.677,192.701,119.206,260.546,56.112,64.352,27.009,61.500,59.285,125.722,77.055,73.179,249.064,149.240,80.545,262.531,31.820,60.099,113.537,134.504,109.059,143.849,35.540,309.887,66.522,62.093,206.753,247.125,375.260
8/2026,138.207,59.470,92.015,57.270,103.186,49.494,57.737,24.138,46.040,41.872,63.589,56.707,54.913,87.517,60.059,57.085,77.765,32.989,44.623,64.439,58.501,58.671,70.199,30.093,92.217,44.357,39.024,104.166,97.102,140.439
9/2026,69.701,44.158,66.089,37.278,55.425,37.586,34.780,23.423,65.933,40.538,40.697,41.747,50.407,49.872,40.476,32.944,44.918,26.615,60.711,58.762,42.100,39.996,43.303,24.630,47.997,40.522,29.829,84.422,47.444,75.459
10/2026,71.117,61.801,75.342,54.997,45.265,37.476,34.855,38.701,40.577,42.615,61.938,85.175,57.671,48.250,45.635,36.989,48.230,27.144,61.628,75.466,39.386,36.573,46.896,29.293,43.682,35.535,33.475,55.552,41.879,70.744
11/2026,52.182,50.299,55.505,46.607,36.920,34.176,34.272,25.087,30.511,38.715,47.942,56.593,45.781,42.782,42.309,38.166,40.101,23.592,39.670,45.462,36.774,31.883,40.852,28.409,38.936,33.176,34.090,40.184,36.562,58.743
12/2026,48.099,40.942,42.393,41.320,32.932,29.057,28.213,21.130,27.880,30.048,34.622,38.588,32.078,37.932,34.082,31.828,34.917,21.641,29.441,36.764,32.388,29.694,37.873,22.949,36.267,31.372,27.861,34.037,33.534,49.510
1/2027,40.514,35.036,37.587,35.328,32.790,26.678,24.829,19.909,24.914,29.016,29.792,32.333,26.555,34.168,30.106,28.944,33.272,20.017,25.491,31.881,29.456,27.840,33.200,21.061,32.952,29.575,23.541,31.001,32.401,45.195
2/2027,39.095,28.348,32.040,34.006,32.525,25.048,20.958,23.111,21.233,25.324,24.326,31.821,21.513,29.911,24.894,23.849,27.601,17.628,26.332,37.320,27.396,33.537,34.397,18.259,29.040,25.206,20.046,26.935,26.091,36.622
