segdesc   = BMDC2L_F
2023-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2027,203.820,231.195,354.169,310.009,185.861,197.533,239.832,236.447,91.692,152.624,220.348,249.484,227.711,218.152,230.689,292.928,112.749,137.830,140.833,100.872,222.545,152.977,157.653,238.149,159.340,176.196,178.597,120.971,202.437,250.978
6/2027,214.450,563.367,305.982,480.132,207.368,318.069,149.062,184.978,57.165,212.049,135.289,278.738,181.336,163.610,468.015,254.457,259.753,412.293,52.406,148.393,327.127,340.247,281.323,381.979,74.564,387.233,187.550,261.649,160.834,411.760
7/2027,65.290,435.526,108.877,169.426,99.535,214.090,49.806,57.482,24.107,56.462,52.496,111.552,69.626,63.141,206.958,131.548,70.215,228.368,27.465,55.031,100.665,118.269,90.205,129.444,32.177,259.578,58.426,119.981,65.561,192.208
8/2027,42.445,127.233,53.677,82.148,50.806,89.215,44.355,51.665,21.159,41.645,36.906,57.636,49.269,46.236,77.164,54.017,49.458,70.497,28.271,39.637,56.383,53.368,52.656,63.511,26.775,82.137,38.995,55.315,52.845,69.104
9/2027,33.740,62.894,38.998,55.102,32.599,47.086,32.812,30.286,20.288,54.187,32.664,36.796,36.227,39.683,43.551,35.888,28.596,39.818,23.145,52.456,50.274,38.268,34.377,38.428,21.635,42.688,36.371,33.584,38.856,48.973
10/2027,39.849,59.757,45.841,55.908,41.474,37.930,29.163,28.776,28.417,33.371,30.706,48.896,57.613,39.940,39.596,37.601,29.376,38.472,22.327,47.791,58.478,32.775,30.079,39.613,24.011,36.648,34.704,28.428,28.250,44.025
11/2027,31.338,43.873,39.261,42.610,34.534,30.226,25.602,28.361,18.770,24.693,27.784,37.695,41.530,33.226,33.732,33.349,29.624,31.774,18.597,30.807,36.816,29.519,25.912,33.484,22.467,31.689,36.732,26.806,24.076,36.105
12/2027,25.739,39.857,32.693,34.154,31.369,26.670,22.543,22.889,16.152,22.169,22.815,27.924,28.993,24.049,29.700,27.326,24.788,27.689,16.787,23.376,29.359,25.952,23.679,31.002,18.281,28.990,29.254,24.280,21.504,30.257
1/2028,23.295,33.912,28.063,30.283,27.109,26.274,20.887,19.996,15.403,20.005,21.798,24.168,24.593,20.067,27.080,24.337,22.746,26.086,15.546,20.488,25.688,23.903,21.753,26.848,16.778,26.396,23.656,21.800,20.075,27.459
2/2028,25.820,33.348,23.790,26.782,26.347,26.695,20.362,17.464,18.182,17.773,19.954,20.436,23.348,16.883,24.523,20.813,19.656,22.522,14.000,20.806,30.080,22.641,26.687,28.038,14.820,23.651,22.590,20.544,18.843,23.717
3/2028,45.680,41.541,44.892,42.537,36.546,31.246,29.623,21.565,27.829,44.056,24.879,28.238,52.927,17.395,41.538,23.884,30.780,37.628,20.883,26.445,50.287,36.707,58.828,29.289,19.845,34.539,28.145,31.933,31.413,39.874
4/2028,58.776,95.779,80.096,62.100,50.119,85.066,61.634,54.405,50.138,92.587,61.843,88.544,88.237,46.386,63.863,53.589,64.128,81.169,38.019,65.163,75.490,59.489,106.091,47.871,73.936,49.182,50.493,68.834,65.433,72.387
5/2028,241.360,355.795,319.856,194.069,205.570,241.246,242.614,94.382,164.460,220.966,259.338,232.145,219.769,231.774,300.290,120.553,145.931,141.224,104.313,235.376,158.373,158.137,247.768,161.854,176.711,178.961,127.252,206.026,264.569,204.622
6/2028,573.208,307.011,480.770,203.999,321.225,149.751,180.733,54.828,202.748,135.814,275.619,178.732,161.573,469.836,253.643,255.958,418.703,52.715,147.838,320.478,342.109,282.042,381.483,72.681,400.617,188.278,263.702,159.025,408.805,215.491
7/2028,424.209,109.555,164.210,97.285,208.249,50.349,56.985,24.071,55.752,52.958,107.601,69.591,62.586,207.781,127.716,68.543,218.737,27.949,54.753,98.425,114.681,90.623,126.371,32.095,248.439,58.798,116.192,64.788,185.571,65.838
8/2028,123.148,53.771,80.414,50.064,86.530,44.499,51.572,21.265,41.435,36.952,57.099,48.874,45.773,77.274,53.154,49.076,68.964,28.367,38.862,55.729,52.811,52.626,62.287,26.608,80.349,39.000,54.599,52.955,68.549,42.507
9/2028,63.864,39.105,54.973,32.519,46.598,32.971,30.075,20.748,54.314,32.747,37.293,36.514,39.903,43.673,35.898,28.429,39.521,23.285,53.373,51.540,38.104,34.372,38.447,21.720,42.361,36.411,33.512,38.168,48.391,33.846
10/2028,57.737,45.974,55.497,41.823,37.735,29.358,28.959,28.069,32.950,30.816,48.300,57.307,39.751,39.741,37.572,29.507,38.518,22.431,46.599,56.780,32.882,30.120,39.513,24.281,36.718,34.776,28.503,28.175,44.170,39.981
11/2028,43.644,39.303,42.218,34.289,30.129,25.671,28.135,18.572,24.572,27.805,37.085,40.640,32.444,33.772,33.192,29.427,31.600,18.644,30.212,36.118,29.387,25.851,33.509,22.291,31.553,36.704,26.779,24.019,35.764,31.355
